#Name, Pixels, Particles, Locality, Exec Time, Frame Mean, Frame STDEV (ms)
MEM_SEQ, 8192, 1048576, 8, 7318.14, 14.6071, 0.140797
MEM_SEQ, 16384, 1048576, 8, 7437.93, 14.8462, 0.134837
MEM_SEQ, 32768, 1048576, 8, 7588.15, 15.146, 0.134725
MEM_SEQ, 65536, 1048576, 8, 7821.9, 15.6126, 0.120326
MEM_SEQ, 131072, 1048576, 8, 8414.4, 16.7952, 0.145201
MEM_SEQ, 262144, 1048576, 8, 9588.93, 19.1396, 0.14457
MEM_SEQ, 524288, 1048576, 8, 12007.3, 23.9667, 0.140958
MEM_SEQ, 1048576, 1048576, 8, 17001.5, 33.9351, 0.205369
MEM_SEQ, 2097152, 1048576, 8, 27167.4, 54.2264, 0.446239
