#Name, Pixels, Particles, Locality, Exec Time, Frame Mean, Frame STDEV (ms)
MEM_ASYNC, 8192, 1048576, 8, 7212.7, 14.3966, 0.130862
MEM_ASYNC, 16384, 1048576, 8, 7317.19, 14.6052, 0.127921
MEM_ASYNC, 32768, 1048576, 8, 7454.83, 14.8799, 0.138923
MEM_ASYNC, 65536, 1048576, 8, 7714.64, 15.3985, 0.177884
MEM_ASYNC, 131072, 1048576, 8, 8297.84, 16.5626, 0.141293
MEM_ASYNC, 262144, 1048576, 8, 9483.55, 18.9292, 0.148635
MEM_ASYNC, 524288, 1048576, 8, 11894.6, 23.7416, 0.144173
MEM_ASYNC, 1048576, 1048576, 8, 16864.3, 33.6612, 0.205218
MEM_ASYNC, 2097152, 1048576, 8, 27086.5, 54.0648, 0.431541
