#Name, Pixels, Particles, Locality, Exec Time, Frame Mean, Frame STDEV (ms)
MEM_MQUEUE, 8192, 1048576, 8, 7138.74, 14.249, 0.109292
MEM_MQUEUE, 16384, 1048576, 8, 7168.7, 14.3088, 0.155836
MEM_MQUEUE, 32768, 1048576, 8, 7211.14, 14.3935, 0.120793
MEM_MQUEUE, 65536, 1048576, 8, 7296.83, 14.5645, 0.142574
MEM_MQUEUE, 131072, 1048576, 8, 7487.72, 14.9456, 0.242861
MEM_MQUEUE, 262144, 1048576, 8, 7913.96, 15.7963, 0.65152
MEM_MQUEUE, 524288, 1048576, 8, 10132.1, 20.2238, 0.669612
MEM_MQUEUE, 1048576, 1048576, 8, 15955.5, 31.8474, 1.3875
MEM_MQUEUE, 2097152, 1048576, 8, 27040.8, 53.9737, 0.716994
