#Name, Pixels, Particles, Locality, RunTime, Frame Mean, STDEV, Graph, STDEV, Compute, STDEV
MEM_SEQ, 1572864, 65536, 8, 12366.8, 30.8399, 0.491536, 0.22492, 0.031407, 29.8975, 0.418203
MEM_SEQ, 1572864, 131072, 8, 12765.8, 31.8348, 0.399007, 0.22827, 0.0170778, 30.8562, 0.382246
MEM_SEQ, 1572864, 196608, 8, 13104.5, 32.6795, 0.374083, 0.228914, 0.012979, 31.7086, 0.341027
MEM_SEQ, 1572864, 262144, 8, 13480.8, 33.6181, 0.344196, 0.228747, 0.0129886, 32.6664, 0.332959
MEM_SEQ, 1572864, 327680, 8, 13831.2, 34.4919, 0.338035, 0.229653, 0.0083534, 33.5157, 0.325222
MEM_SEQ, 1572864, 393216, 8, 14186.3, 35.3774, 0.343675, 0.229461, 0.0116696, 34.4024, 0.309936
MEM_SEQ, 1572864, 458752, 8, 14522.7, 36.2161, 0.363089, 0.229803, 0.0101501, 35.2413, 0.340604
MEM_SEQ, 1572864, 524288, 8, 14878.2, 37.1028, 0.350881, 0.228739, 0.013002, 36.1487, 0.314042
MEM_SEQ, 1572864, 589824, 8, 15226.7, 37.9719, 0.337456, 0.229223, 0.011676, 37.0161, 0.315474
MEM_SEQ, 1572864, 655360, 8, 15561.3, 38.8062, 0.347004, 0.229267, 0.0115961, 37.8561, 0.324368
MEM_SEQ, 1572864, 720896, 8, 15929.2, 39.7238, 0.35209, 0.228946, 0.0188658, 38.7544, 0.370083
MEM_SEQ, 1572864, 786432, 8, 16274.5, 40.5849, 0.358749, 0.227501, 0.0181727, 39.609, 0.38
MEM_SEQ, 1572864, 851968, 8, 16619.5, 41.4451, 0.335264, 0.228571, 0.014222, 40.4739, 0.30723
MEM_SEQ, 1572864, 917504, 8, 16967.5, 42.313, 0.336248, 0.22977, 0.0162271, 41.3451, 0.385013
MEM_SEQ, 1572864, 983040, 8, 17348.1, 43.2621, 0.347675, 0.230292, 0.0138951, 42.2688, 0.298037
MEM_SEQ, 1572864, 1048576, 8, 17689.4, 44.1133, 0.318221, 0.22883, 0.0233709, 43.128, 0.290791
MEM_SEQ, 1572864, 1114112, 8, 18039.9, 44.9873, 0.340054, 0.228406, 0.01971, 44.0054, 0.318122
MEM_SEQ, 1572864, 1179648, 8, 18411.3, 45.9134, 0.35239, 0.229202, 0.0117339, 44.9282, 0.309425
MEM_SEQ, 1572864, 1245184, 8, 18754, 46.7681, 0.319142, 0.228999, 0.0130883, 45.7971, 0.299924
MEM_SEQ, 1572864, 1310720, 8, 19107.1, 47.6486, 0.324961, 0.229575, 0.0170479, 46.6617, 0.293746
MEM_SEQ, 1572864, 1376256, 8, 19440.2, 48.4793, 0.336803, 0.229918, 0.00837734, 47.5046, 0.301344
MEM_SEQ, 1572864, 1441792, 8, 19810.8, 49.4034, 0.334862, 0.230112, 0.00591164, 48.4343, 0.302327
MEM_SEQ, 1572864, 1507328, 8, 20166.5, 50.2904, 0.323052, 0.229527, 0.0084186, 49.3163, 0.309201
MEM_SEQ, 1572864, 1572864, 8, 20516.5, 51.1632, 0.348486, 0.230066, 0.00604928, 50.1814, 0.322025
MEM_SEQ, 1572864, 1638400, 8, 20878.8, 52.0669, 0.364818, 0.229944, 0.00610924, 51.082, 0.306966
MEM_SEQ, 1572864, 1703936, 8, 21233.1, 52.9504, 0.326514, 0.230276, 0.00199213, 51.9779, 0.290776
MEM_SEQ, 1572864, 1769472, 8, 21575.1, 53.8034, 0.340222, 0.230663, 0.0018241, 52.8302, 0.320974
MEM_SEQ, 1572864, 1835008, 8, 21897.4, 54.6069, 0.370812, 0.230559, 0.0017179, 53.6243, 0.321409
MEM_SEQ, 1572864, 1900544, 8, 22262.6, 55.5176, 0.346444, 0.230421, 0.00174733, 54.5502, 0.321015
MEM_SEQ, 1572864, 1966080, 8, 22608.8, 56.3811, 0.34825, 0.229947, 0.00607464, 55.41, 0.326772
MEM_SEQ, 1572864, 2031616, 8, 22958, 57.2519, 0.37145, 0.230098, 0.00610833, 56.2856, 0.346411
MEM_SEQ, 1572864, 2097152, 8, 23316.8, 58.1467, 0.356074, 0.230264, 0.00190183, 57.1634, 0.321222
