#Name, Pixels, Particles, Locality, RunTime, Frame Mean, STDEV, Graph, STDEV, Compute, STDEV, Compute2, STDEV
MEM_MQUEUE, 65536, 1572864, 8, 8817.5, 21.9888, 0.334329, 0.484946, 0.46664, 3.27796, 0.26775, 21.6832, 0.252861
MEM_MQUEUE, 131072, 1572864, 8, 8865.62, 22.1088, 0.187728, 0.657025, 0.537891, 5.78585, 0.265665, 21.8593, 0.163031
MEM_MQUEUE, 196608, 1572864, 8, 9001.29, 22.4471, 0.250148, 0.812015, 0.607807, 8.16159, 0.340625, 22.2055, 0.22112
MEM_MQUEUE, 262144, 1572864, 8, 9148.67, 22.8146, 0.441339, 0.818671, 0.707105, 10.4927, 0.536835, 22.5366, 0.256904
MEM_MQUEUE, 327680, 1572864, 8, 9280.19, 23.1426, 0.376274, 1.05095, 0.768088, 12.9055, 0.622281, 22.8828, 0.285235
MEM_MQUEUE, 393216, 1572864, 8, 9413.79, 23.4758, 0.307529, 1.31376, 0.805456, 15.2223, 0.582801, 23.2147, 0.259595
MEM_MQUEUE, 458752, 1572864, 8, 9567.96, 23.8602, 0.570466, 1.45473, 0.861279, 17.5759, 0.985461, 23.5342, 0.278944
MEM_MQUEUE, 524288, 1572864, 8, 9749.79, 24.3137, 0.555158, 1.71594, 0.863955, 19.5593, 0.962143, 23.9219, 0.295055
MEM_MQUEUE, 589824, 1572864, 8, 10102.1, 25.1924, 0.760495, 1.80607, 0.949924, 20.9364, 1.18625, 24.0961, 0.334595
MEM_MQUEUE, 655360, 1572864, 8, 10701.7, 26.6877, 1.30441, 2.11423, 0.892111, 21.5639, 1.74387, 24.0836, 0.458306
MEM_MQUEUE, 720896, 1572864, 8, 11247.8, 28.0493, 1.02026, 2.38116, 0.834377, 22.5579, 1.62766, 24.0765, 0.431517
MEM_MQUEUE, 786432, 1572864, 8, 11743.2, 29.2849, 1.27285, 2.43249, 0.976821, 23.6789, 1.81498, 24.1174, 0.470931
MEM_MQUEUE, 851968, 1572864, 8, 12393.1, 30.9056, 1.55044, 2.7509, 0.866002, 24.2922, 2.13004, 24.0086, 0.494203
MEM_MQUEUE, 917504, 1572864, 8, 12993.8, 32.4035, 1.66563, 3.05926, 0.70819, 25.4808, 1.98149, 24.2872, 0.558308
MEM_MQUEUE, 983040, 1572864, 8, 13495.6, 33.6548, 1.16962, 3.27287, 0.696122, 26.853, 1.65551, 24.4435, 0.493639
MEM_MQUEUE, 1048576, 1572864, 8, 14213.3, 35.4447, 1.90668, 3.48817, 0.652726, 27.1899, 2.56542, 24.2504, 0.791311
MEM_MQUEUE, 1114112, 1572864, 8, 14694.6, 36.645, 1.9456, 3.63362, 0.705234, 28.0076, 2.60625, 24.1603, 0.749778
MEM_MQUEUE, 1179648, 1572864, 8, 15244.5, 38.0162, 1.74344, 3.90353, 0.552355, 28.9453, 2.37644, 24.1134, 0.689892
MEM_MQUEUE, 1245184, 1572864, 8, 15820.3, 39.4522, 1.71373, 4.10254, 0.518853, 29.8211, 2.25304, 24.0299, 0.665787
MEM_MQUEUE, 1310720, 1572864, 8, 16401.6, 40.9017, 1.91702, 4.28718, 0.518585, 30.5504, 2.55267, 23.8964, 0.73839
MEM_MQUEUE, 1376256, 1572864, 8, 16858.6, 42.0413, 1.53917, 4.47519, 0.466729, 31.86, 2.06342, 23.9398, 0.635765
MEM_MQUEUE, 1441792, 1572864, 8, 17683.4, 44.0984, 2.30625, 4.54331, 0.712947, 31.8877, 3.03325, 23.6814, 0.923816
MEM_MQUEUE, 1507328, 1572864, 8, 18714.5, 46.6695, 2.64188, 4.559, 0.872493, 31.6646, 3.48984, 23.2199, 1.11494
MEM_MQUEUE, 1572864, 1572864, 8, 18874.6, 47.0689, 2.419, 4.65855, 1.01355, 33.5808, 3.05835, 23.1861, 0.909903
MEM_MQUEUE, 1638400, 1572864, 8, 19541.2, 48.7311, 2.48622, 4.6871, 1.14046, 34.3916, 3.05288, 23.038, 0.930356
MEM_MQUEUE, 1703936, 1572864, 8, 20000.2, 49.8758, 2.31956, 4.90358, 1.20923, 35.5167, 2.67532, 23.0607, 0.864578
MEM_MQUEUE, 1769472, 1572864, 8, 20202.3, 50.3798, 1.18343, 5.46736, 0.759773, 37.9287, 1.56253, 23.6765, 0.494083
MEM_MQUEUE, 1835008, 1572864, 8, 20925.5, 52.1832, 1.82136, 5.31487, 1.24455, 38.1856, 2.2123, 23.2149, 0.787662
MEM_MQUEUE, 1900544, 1572864, 8, 21636.2, 53.9557, 1.92754, 5.33796, 1.40712, 39.0627, 2.27218, 23.0304, 0.80799
MEM_MQUEUE, 1966080, 1572864, 8, 22039.9, 54.9623, 1.91284, 5.541, 1.42842, 40.17, 2.21478, 22.8635, 0.704134
MEM_MQUEUE, 2031616, 1572864, 8, 22542.3, 56.2151, 1.88137, 5.7508, 1.37533, 41.4384, 2.11835, 22.822, 0.675968
MEM_MQUEUE, 2097152, 1572864, 8, 23119.5, 57.6545, 1.78678, 5.93112, 1.49749, 42.5927, 1.93048, 22.8115, 0.679067
