#Name, Pixels, Particles, Locality, RunTime, Frame Mean, STDEV, Graph, STDEV, Compute, STDEV
MEM_SEQ, 65536, 1572864, 8, 9164.65, 22.8545, 0.173004, 0.0169399, 0.000868043, 22.4931, 0.0820702
MEM_SEQ, 131072, 1572864, 8, 9619, 23.9875, 0.152297, 0.0248205, 0.000420348, 23.6178, 0.0775008
MEM_SEQ, 196608, 1572864, 8, 10055.2, 25.0752, 0.165965, 0.0346197, 0.000437832, 24.6668, 0.0722822
MEM_SEQ, 262144, 1572864, 8, 10539.7, 26.2835, 0.174328, 0.0425945, 0.000503722, 25.8619, 0.147173
MEM_SEQ, 327680, 1572864, 8, 10976, 27.3716, 0.164507, 0.0546388, 0.00278973, 26.9363, 0.110432
MEM_SEQ, 393216, 1572864, 8, 11460.5, 28.5798, 0.205009, 0.0621941, 0.00061674, 28.129, 0.161991
MEM_SEQ, 458752, 1572864, 8, 11948.6, 29.7971, 0.193021, 0.0728111, 0.00330468, 29.3168, 0.108675
MEM_SEQ, 524288, 1572864, 8, 12426.8, 30.9894, 0.166371, 0.0799061, 0.000755682, 30.4887, 0.103433
MEM_SEQ, 589824, 1572864, 8, 12951, 32.2967, 0.163059, 0.0923418, 0.00499334, 31.7685, 0.131385
MEM_SEQ, 655360, 1572864, 8, 13451.8, 33.5457, 0.17449, 0.099741, 0.000870454, 32.9569, 0.126325
MEM_SEQ, 720896, 1572864, 8, 13942.5, 34.7693, 0.187002, 0.110021, 0.000925795, 34.146, 0.142824
MEM_SEQ, 786432, 1572864, 8, 14434.6, 35.9964, 0.192851, 0.117453, 0.00101836, 35.3572, 0.14587
MEM_SEQ, 851968, 1572864, 8, 14912.2, 37.1876, 0.178993, 0.13016, 0.00108957, 36.5289, 0.140154
MEM_SEQ, 917504, 1572864, 8, 15442.6, 38.5103, 0.198835, 0.13732, 0.00361786, 37.8173, 0.15307
MEM_SEQ, 983040, 1572864, 8, 15963.6, 39.8094, 0.233566, 0.148333, 0.00119277, 39.0802, 0.15808
MEM_SEQ, 1048576, 1572864, 8, 16460.2, 41.0478, 0.255373, 0.155518, 0.00933914, 40.2921, 0.228502
MEM_SEQ, 1114112, 1572864, 8, 16899.3, 42.1429, 0.223043, 0.168099, 0.00118273, 41.3539, 0.181223
MEM_SEQ, 1179648, 1572864, 8, 17392.9, 43.3737, 0.222104, 0.175413, 0.0012195, 42.5633, 0.175647
MEM_SEQ, 1245184, 1572864, 8, 17887.8, 44.6079, 0.222171, 0.185926, 0.00138739, 43.7653, 0.195888
MEM_SEQ, 1310720, 1572864, 8, 18371.2, 45.8134, 0.226842, 0.193289, 0.0105531, 44.9415, 0.192373
MEM_SEQ, 1376256, 1572864, 8, 18830.3, 46.9584, 0.250162, 0.205501, 0.0112069, 46.0644, 0.20107
MEM_SEQ, 1441792, 1572864, 8, 19332.1, 48.2097, 0.249222, 0.212571, 0.00176148, 47.2841, 0.216581
MEM_SEQ, 1507328, 1572864, 8, 19882.6, 49.5825, 0.258407, 0.223312, 0.0121772, 48.6282, 0.213319
MEM_SEQ, 1572864, 1572864, 8, 20363.6, 50.782, 0.236791, 0.231319, 0.0129382, 49.8113, 0.252182
MEM_SEQ, 1638400, 1572864, 8, 20893.6, 52.1039, 0.254539, 0.242993, 0.00155694, 51.0935, 0.210961
MEM_SEQ, 1703936, 1572864, 8, 21411.1, 53.3942, 0.267912, 0.250358, 0.00174577, 52.3723, 0.22193
MEM_SEQ, 1769472, 1572864, 8, 21850.6, 54.4903, 0.269643, 0.261501, 0.0126009, 53.4384, 0.221456
MEM_SEQ, 1835008, 1572864, 8, 22357.6, 55.7546, 0.249055, 0.26798, 0.00229456, 54.6808, 0.211856
MEM_SEQ, 1900544, 1572864, 8, 22927.6, 57.176, 0.278033, 0.280693, 0.00214786, 56.0636, 0.212361
MEM_SEQ, 1966080, 1572864, 8, 23422.1, 58.4093, 0.271358, 0.288301, 0.0140911, 57.2707, 0.216635
MEM_SEQ, 2031616, 1572864, 8, 23987.8, 59.8198, 0.260516, 0.297714, 0.00222412, 58.6517, 0.212147
MEM_SEQ, 2097152, 1572864, 8, 24501.4, 61.1008, 0.293676, 0.306389, 0.0146571, 59.8982, 0.222082
