#Name, Pixels, Particles, Locality, RunTime, Frame Mean, STDEV, Graph, STDEV, Compute, STDEV, Compute2, STDEV
MEM_MQUEUE, 524288, 65536, 8, 4284.15, 10.6837, 0.364776, 0.316527, 0.265872, 9.34761, 0.325559, 0.978867, 0.0627792
MEM_MQUEUE, 524288, 131072, 8, 4620.01, 11.5212, 0.291153, 0.653857, 0.55819, 9.33431, 0.336921, 1.87805, 0.105728
MEM_MQUEUE, 524288, 196608, 8, 4969.86, 12.3937, 0.308537, 1.36514, 0.687768, 9.37492, 0.38493, 2.78082, 0.117466
MEM_MQUEUE, 524288, 262144, 8, 5310.97, 13.2443, 0.36462, 1.83204, 0.6753, 9.5029, 0.493849, 3.71011, 0.205462
MEM_MQUEUE, 524288, 327680, 8, 5610.67, 13.9917, 0.324315, 2.02619, 0.601604, 9.76565, 0.530823, 4.72315, 0.268461
MEM_MQUEUE, 524288, 393216, 8, 5857.92, 14.6083, 0.453799, 1.94377, 0.699955, 10.3077, 0.703688, 5.85553, 0.346732
MEM_MQUEUE, 524288, 458752, 8, 6132.26, 15.2924, 0.475627, 1.93995, 0.707752, 10.6392, 0.800399, 6.86494, 0.337976
MEM_MQUEUE, 524288, 524288, 8, 6388.53, 15.9315, 0.698898, 1.76899, 0.847122, 11.0854, 1.03363, 7.90828, 0.456225
MEM_MQUEUE, 524288, 589824, 8, 6641.48, 16.5623, 0.897016, 1.75545, 0.853688, 11.5452, 1.11682, 8.89443, 0.518127
MEM_MQUEUE, 524288, 655360, 8, 6767.98, 16.8778, 0.531535, 2.0368, 0.582433, 12.539, 0.814904, 9.93233, 0.456192
MEM_MQUEUE, 524288, 720896, 8, 7044.57, 17.5675, 0.725359, 2.02141, 0.606259, 12.9053, 0.972025, 11.0416, 0.497673
MEM_MQUEUE, 524288, 786432, 8, 7270.93, 18.132, 0.733054, 2.06892, 0.523529, 13.4011, 1.06379, 12.128, 0.55289
MEM_MQUEUE, 524288, 851968, 8, 7463.47, 18.6121, 0.708869, 2.09109, 0.475397, 13.9787, 0.978997, 13.1227, 0.50794
MEM_MQUEUE, 524288, 917504, 8, 7655.99, 19.0922, 0.738063, 2.00906, 0.621401, 14.6323, 1.036, 14.2156, 0.513434
MEM_MQUEUE, 524288, 983040, 8, 7867.06, 19.6186, 0.74537, 2.03456, 0.575427, 15.1131, 1.05933, 15.2284, 0.494572
MEM_MQUEUE, 524288, 1048576, 8, 8039.24, 20.048, 0.753024, 1.98962, 0.637649, 15.7364, 0.959406, 16.2565, 0.454697
MEM_MQUEUE, 524288, 1114112, 8, 8268.26, 20.6191, 0.832237, 1.99285, 0.634477, 16.1854, 1.1964, 17.308, 0.467411
MEM_MQUEUE, 524288, 1179648, 8, 8433.71, 21.0317, 0.7784, 1.92695, 0.688066, 16.8239, 1.11566, 18.3615, 0.440437
MEM_MQUEUE, 524288, 1245184, 8, 8625.01, 21.5087, 0.832668, 1.84446, 0.781466, 17.3616, 1.1936, 19.4074, 0.422835
MEM_MQUEUE, 524288, 1310720, 8, 8830.76, 22.0219, 1.02917, 1.72919, 0.847103, 17.8973, 1.6167, 20.4011, 0.451584
MEM_MQUEUE, 524288, 1376256, 8, 9028.65, 22.5153, 1.01898, 1.7009, 0.874792, 18.5368, 1.24544, 21.3847, 0.373111
MEM_MQUEUE, 524288, 1441792, 8, 9273.94, 23.127, 0.802895, 1.66726, 0.887821, 18.9802, 1.25127, 22.366, 0.398527
MEM_MQUEUE, 524288, 1507328, 8, 9493.11, 23.6736, 0.50707, 1.50917, 0.973412, 19.4868, 0.793042, 23.2812, 0.334975
MEM_MQUEUE, 524288, 1572864, 8, 9808.98, 24.4613, 0.61417, 1.44291, 1.00248, 19.7855, 0.855508, 24.1469, 0.360504
MEM_MQUEUE, 524288, 1638400, 8, 10143.6, 25.2957, 0.686579, 1.41539, 0.986825, 19.8525, 1.04326, 24.9708, 0.363189
MEM_MQUEUE, 524288, 1703936, 8, 10489.4, 26.158, 0.719017, 1.54499, 0.965141, 19.8116, 1.12516, 25.8185, 0.378962
MEM_MQUEUE, 524288, 1769472, 8, 10844.7, 27.0441, 0.714354, 1.66229, 0.894057, 19.8718, 1.0655, 26.6966, 0.3638
MEM_MQUEUE, 524288, 1835008, 8, 11162.6, 27.8369, 0.455607, 1.55698, 0.915658, 19.9526, 0.81046, 27.5658, 0.313414
MEM_MQUEUE, 524288, 1900544, 8, 11537.5, 28.7718, 0.614813, 1.63294, 0.882195, 19.8943, 0.980107, 28.4616, 0.357429
MEM_MQUEUE, 524288, 1966080, 8, 11893.4, 29.6593, 0.517615, 1.74468, 0.837185, 19.9562, 0.879852, 29.3667, 0.34912
MEM_MQUEUE, 524288, 2031616, 8, 12230.3, 30.4996, 0.491508, 1.74548, 0.845026, 19.964, 0.751993, 30.21, 0.299057
MEM_MQUEUE, 524288, 2097152, 8, 12583.3, 31.3799, 0.476999, 1.70517, 0.869634, 20.0411, 0.756457, 31.0953, 0.309459
